Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Price,Flight_Status,Meal Cost,Status_Reason,Total_Seats_Present,Total_seats_Filled,Total_Seats_Vacant,Ratings
IndiGo,01/01/2024,Banglore,Delhi,BLR → NAG → DEL,16:50,21:35,4.45,1.0,13302,Completed,1747,Successful Flight,250.0,243.0,7.0,1.53
JetAirways,01/01/2024,Banglore,Delhi,BLR → BOM → DEL,08:00,05:05,21.5,1.0,22270,Completed,809,Successful Flight,430.0,415.0,15.0,4.49
AirIndia,01/01/2024,Banglore,Delhi,BLR → BOM → AMD → DEL,08:50,23:55,15.5,2.0,17345,Completed,976,Successful Flight,450.0,446.0,4.0,2.5
AirIndia,01/01/2024,Delhi,Cochin,DEL → BOM → COK,23:00,19:15,20.15,1.0,27430,Completed,1704,Successful Flight,450.0,450.0,0.0,2.61
AirIndia,01/01/2024,Chennai,Kolkata,MAA → CCU,11:40,13:55,2.15,0.0,19630,Completed,1569,Successful Flight,450.0,434.0,16.0,3.95
AirIndia,01/01/2024,Banglore,Delhi,BLR → CCU → DEL,11:05,09:15,22.1,1.0,13439,Cancelled,1807,Aircraft Maintenance,450.0,0.0,450.0,0.0
MultipleCarriers,01/01/2024,Delhi,Cochin,DEL → BOM → COK,12:50,19:15,6.25,1.0,36983,Completed,1197,Successful Flight,500.0,482.0,18.0,3.82
JetAirways,01/01/2024,Banglore,Delhi,BLR → BOM → DEL,08:55,15:15,6.2,1.0,26890,Completed,1786,Successful Flight,430.0,415.0,15.0,3.98
AirIndia,01/01/2024,Banglore,Delhi,BLR → CCU → DEL,05:50,22:45,16.55,1.0,14069,Completed,1642,Successful Flight,450.0,449.0,1.0,2.46
JetAirways,01/01/2024,Banglore,Delhi,BLR → BOM → DEL,07:00,12:25,5.25,1.0,26890,Cancelled,1414,Weather Conditions,430.0,0.0,430.0,0.0
SpiceJet,01/01/2024,Chennai,Kolkata,MAA → CCU,09:30,12:05,2.35,0.0,7298,Completed,892,Successful Flight,390.0,390.0,0.0,1.53
SpiceJet,01/01/2024,Kolkata,Banglore,CCU → BLR,22:20,00:40,2.2,0.0,5515,Completed,1689,Successful Flight,390.0,388.0,2.0,1.04
AirIndia,01/01/2024,Banglore,Delhi,BLR → HYD → DEL,17:00,12:15,19.15,1.0,10246,Completed,1878,Successful Flight,450.0,435.0,15.0,3.69
JetAirwaysBusiness,01/01/2024,Banglore,Delhi,BLR → BOM → DEL,05:45,10:45,5.0,1.0,52229,Completed,1387,Successful Flight,100.0,95.0,5.0,1.68
AirIndia,01/01/2024,Banglore,Delhi,BLR → BOM → BHO → DEL,08:50,23:25,14.35,2.0,26743,Completed,1930,Successful Flight,450.0,442.0,8.0,3.6
IndiGo,01/01/2024,Banglore,Delhi,BLR → HYD → DEL,16:55,21:50,4.55,1.0,8153,Completed,809,Successful Flight,250.0,243.0,7.0,2.78
JetAirways,01/01/2024,Banglore,Delhi,BLR → BOM → DEL,05:45,16:10,10.25,1.0,26890,Completed,1017,Successful Flight,430.0,428.0,2.0,3.32
IndiGo,01/01/2024,Mumbai,Hyderabad,BOM → HYD,12:00,13:25,1.25,0.0,12475,Completed,1648,Successful Flight,250.0,246.0,4.0,2.87
AirIndia,01/01/2024,Kolkata,Banglore,CCU → BLR,14:15,16:45,2.3,0.0,6535,Completed,1152,Successful Flight,450.0,437.0,13.0,1.34
JetAirways,01/01/2024,Banglore,Delhi,BLR → BOM → DEL,22:50,19:10,20.2,1.0,25735,Completed,1105,Successful Flight,430.0,414.0,16.0,1.88
JetAirways,01/01/2024,Banglore,Delhi,BLR → BOM → DEL,05:45,19:10,13.25,1.0,27992,Completed,1920,Successful Flight,430.0,416.0,14.0,1.6
JetAirways,01/01/2024,Banglore,Delhi,BLR → BOM → DEL,11:40,00:45,13.5,1.0,26890,Completed,1998,Successful Flight,430.0,428.0,2.0,1.89
AirIndia,01/01/2024,Mumbai,Hyderabad,BOM → HYD,15:00,16:25,1.25,0.0,6092,Completed,1917,Successful Flight,450.0,442.0,8.0,1.29
JetAirways,01/01/2024,Banglore,Delhi,BLR → BOM → DEL,22:50,00:45,25.55,1.0,26890,Completed,935,Successful Flight,430.0,430.0,0.0,4.39
AirIndia,01/01/2024,Banglore,Delhi,BLR → CCU → DEL,11:05,19:50,8.45,1.0,14594,Completed,1012,Successful Flight,450.0,445.0,5.0,1.23
JetAirways,01/01/2024,Banglore,Delhi,BLR → BOM → DEL,11:40,09:00,21.2,1.0,20800,Completed,1674,Successful Flight,430.0,410.0,20.0,1.56
IndiGo,01/01/2024,Kolkata,Banglore,CCU → BLR,09:35,12:20,2.45,0.0,6565,Completed,832,Successful Flight,250.0,245.0,5.0,3.34
JetAirways,01/01/2024,Banglore,Delhi,BLR → BOM → DEL,08:55,16:10,7.15,1.0,26890,Completed,1290,Successful Flight,430.0,430.0,0.0,4.23
MultipleCarriers,01/01/2024,Delhi,Cochin,DEL → BOM → COK,19:00,01:35,6.35,1.0,23533,Completed,1446,Successful Flight,500.0,482.0,18.0,3.77
AirIndia,01/01/2024,Banglore,Delhi,BLR → BOM → IDR → DEL,06:45,11:10,28.25,2.0,20999,Completed,1050,Successful Flight,450.0,446.0,4.0,2.24
IndiGo,01/01/2024,Banglore,Delhi,BLR → HYD → DEL,12:10,17:05,4.55,1.0,9694,Completed,1271,Successful Flight,250.0,250.0,0.0,2.65
JetAirways,01/01/2024,Banglore,Delhi,BLR → BOM → DEL,11:40,09:30,21.5,1.0,25735,Completed,1735,Successful Flight,430.0,411.0,19.0,2.84
GoAir,01/01/2024,Banglore,Delhi,BLR → DEL,07:45,10:40,2.55,0.0,13663,Completed,1067,Successful Flight,150.0,138.0,12.0,3.86
AirIndia,01/01/2024,Banglore,Delhi,BLR → BOM → NAG → DEL,08:50,10:35,25.45,2.0,31783,Completed,1743,Successful Flight,450.0,449.0,1.0,2.53
JetAirways,01/01/2024,Banglore,Delhi,BLR → BOM → DEL,08:00,20:20,12.2,1.0,27992,Completed,1565,Successful Flight,430.0,413.0,17.0,3.65
AirIndia,01/01/2024,Banglore,Delhi,BLR → CCU → BBI → HYD → DEL,05:50,12:15,30.25,3.0,12346,Completed,1727,Successful Flight,450.0,442.0,8.0,1.48
AirIndia,01/01/2024,Banglore,Delhi,BLR → CCU → GAU → DEL,05:50,22:10,16.2,2.0,13366,Completed,929,Successful Flight,450.0,438.0,12.0,4.39
IndiGo,01/01/2024,Kolkata,Banglore,CCU → BLR,15:10,17:45,2.35,0.0,6565,Completed,1179,Successful Flight,250.0,245.0,5.0,3.07
JetAirways,01/01/2024,Banglore,Delhi,BLR → BOM → DEL,11:40,18:25,6.45,1.0,26890,Cancelled,1033,Security Concerns,430.0,0.0,430.0,0.0
IndiGo,01/01/2024,Banglore,Delhi,BLR → DEL,20:00,22:55,2.55,0.0,14306,Completed,1343,Successful Flight,250.0,243.0,7.0,3.44
GoAir,01/01/2024,Banglore,Delhi,BLR → GOI → DEL,15:45,20:15,4.3,1.0,12314,Completed,1057,Successful Flight,150.0,147.0,3.0,3.63
JetAirways,01/01/2024,Banglore,Delhi,BLR → BOM → DEL,16:55,08:15,15.2,1.0,26890,Completed,953,Successful Flight,430.0,416.0,14.0,3.45
JetAirways,01/01/2024,Mumbai,Hyderabad,BOM → HYD,07:10,08:35,1.25,0.0,17501,Completed,1186,Successful Flight,430.0,417.0,13.0,1.44
AirIndia,01/01/2024,Banglore,Delhi,BLR → HYD → VGA → DEL,17:00,22:55,29.55,2.0,14887,Completed,1460,Successful Flight,450.0,436.0,14.0,1.66
GoAir,01/01/2024,Banglore,Delhi,BLR → DEL,11:40,14:35,2.55,0.0,11111,Completed,1071,Successful Flight,150.0,143.0,7.0,2.71
AirIndia,01/01/2024,Banglore,Delhi,BLR → BOM → BHO → DEL,08:50,09:25,24.35,2.0,25430,Completed,1344,Successful Flight,450.0,442.0,8.0,4.84
AirIndia,01/01/2024,Banglore,Delhi,BLR → AMD → DEL,00:30,20:30,20.0,1.0,14752,Completed,967,Successful Flight,450.0,435.0,15.0,3.23
IndiGo,01/01/2024,Banglore,Delhi,BLR → DEL,18:55,21:45,2.5,0.0,14306,Completed,1071,Successful Flight,250.0,242.0,8.0,4.59
JetAirways,01/01/2024,Banglore,Delhi,BLR → BOM → DEL,14:05,19:10,5.5,1.0,36235,Completed,1331,Successful Flight,430.0,411.0,19.0,3.14
